fold,n_features,rmse,mae,mape,r2
1,11,835.287377208156,454.7947310425004,4.848453481996929,0.9470118714490277
2,10,753.9162631075036,478.58914679509786,5.629272363900141,0.9363080338949412
3,10,746.0679949387621,465.79816121535026,5.362096616363296,0.9378960129806896
4,10,1065.580764370415,613.5564849934584,6.406195495741551,0.9123315398781747
5,10,907.2962241402284,570.1842374108878,6.380751105428571,0.9080567785521042
