threshold,n_features,avg_rmse,avg_mae,avg_mape,avg_r2
0.0,97,291.3942932570011,164.46277679821665,1.7861556303753368,0.9916185942279128
0.1,59,435.40823306006484,241.6212169900608,2.6637388615947466,0.9792043034265262
0.3,33,532.3751486563301,276.98650819822666,3.040249444628924,0.9714128093422547
0.5,12,699.7020951366623,364.31169212693766,3.9441681234255404,0.9501323143594522
0.6,4,1003.8227516517388,542.4097189001583,5.85009395815853,0.8993293424942059
0.7,1,2227.2314918397115,1408.2627779342424,14.549590388808971,0.5248400945322953
0.8,1,2243.849891157483,1435.1354837928618,14.888755215419614,0.5375016911437783
