Time,electricity_demand_values,heat_demand_values,air_pressure,air_temperature,relative_humidity,wind_speed,solar_irridiation_positive,total_cloud_cover_percent,wind_speed_range,air_temperature_range
2010-12-01,8549.852210985733,6881.64622346925,732.0416666666666,27.77916666666667,76.66666666666667,3.8333333333333335,266.8333333333333,26.041666666666668,5.0,13.3
2010-12-02,7910.87039766548,4721.3602295460005,729.5833333333334,28.504166666666666,71.75,6.625,271.9166666666667,14.583333333333334,11.0,12.2
2010-12-03,8758.89502825261,8530.5966290245,732.6875,25.712500000000002,71.5,4.708333333333333,239.29166666666666,18.75,10.0,13.900000000000002
2010-12-04,10013.06699041291,14129.057623942,734.0875,26.991666666666664,58.25,6.416666666666667,271.7916666666667,29.166666666666668,9.0,14.999999999999996
2010-12-05,10694.276860708209,17116.6507251,736.9166666666666,25.004166666666666,44.416666666666664,5.708333333333333,260.75,6.25,14.0,16.6
2010-12-06,9259.91103386181,10709.736497373,730.2875,28.191666666666666,64.875,4.458333333333333,287.6666666666667,5.208333333333333,7.0,12.7
2010-12-07,9791.060912291,12392.9111769945,736.9250000000001,23.90833333333333,63.708333333333336,3.7916666666666665,284.7916666666667,22.916666666666668,8.0,13.899999999999999
2010-12-08,9338.5042174995,10372.162059672999,730.4458333333333,22.120833333333334,71.79166666666667,5.833333333333333,266.9583333333333,46.875,9.0,14.999999999999998
2010-12-09,8722.556862922609,8324.0173105255,730.8000000000001,22.65833333333333,73.16666666666667,4.875,263.625,31.25,5.0,14.400000000000002
2010-12-10,8308.70141958097,6491.0961150055,733.2541666666666,20.6875,69.33333333333333,6.166666666666667,287.4166666666667,48.958333333333336,14.0,22.299999999999997
2010-12-11,9378.02144324851,11260.4312008755,734.4916666666667,22.041666666666668,53.041666666666664,6.208333333333333,238.54166666666666,17.708333333333332,11.0,30.500000000000004
2010-12-12,9235.271622949951,10605.7752166175,732.1750000000001,23.400000000000002,52.0,6.166666666666667,309.7083333333333,13.541666666666666,12.0,23.299999999999997
2010-12-13,9989.50667663701,13966.8070402305,731.525,19.775000000000002,60.958333333333336,5.583333333333333,262.5,10.416666666666666,10.0,18.9
