fold,n_features,rmse,mae,mape,r2
1,11,1245.9674693725453,772.8445121275888,7.371627767738207,0.8820982770780781
2,10,847.6628978265486,499.3877089150667,5.442358588671232,0.9194835199060921
3,10,812.4061826022175,471.0088395473286,5.025750123465958,0.9263607931351522
4,10,1205.010243601902,673.9768854447269,6.556001256644627,0.8878879970174007
5,10,1041.5155796796903,610.972364819199,6.296935648134963,0.8788417335328684
