fold,n_features,rmse,mae,mape,r2
1,11,1271.4204590166073,781.7663975751592,7.38179794817204,0.8772320128056028
2,10,853.0114836522072,504.3047770768869,5.507485905712847,0.9184642280121381
3,10,810.9706423346663,474.98915736761177,5.071585244027296,0.9266208075249664
4,10,1201.6606639757936,676.7573711540196,6.569959976284571,0.8885104085750601
5,10,1034.902985114655,605.6034179325776,6.25881002667983,0.8803753201436189
