model,avg_rmse,avg_mae,avg_mape,avg_r2
adaboost,861.6297247530131,516.584552291459,5.725353812686097,0.9283208473509875
random_forest,1030.5124746165807,605.638062170782,6.138534676930997,0.8989344641339183
decision_tree,1483.847944736875,754.4235783456742,7.708484112856247,0.7885631252272802
