fold,n_features,rmse,mae,mape,r2
1,11,1587.0710535449414,726.9814971120961,7.101270300469234,0.8087068204850693
2,10,1255.8152782289342,650.9479379922896,6.832458825851153,0.8232782691461714
3,10,1381.0846267369284,668.6244345075776,7.118410265910442,0.7871845054345455
4,10,1566.4393075537232,860.4956841088334,8.66351357634585,0.810548617297446
5,10,1493.6265033632956,805.7078775095281,8.402968991457133,0.7508243890637281
