model,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,r2_mean,r2_std
adaboost,857.004901782453,3.971765304693085,516.750609628821,3.794522795263717,5.731702828733924,0.03076353432418999,0.9292334389956616,0.0006966649888735693
decision_tree,1474.2927891565078,13.1329373249587,750.4982700851272,5.96023334758247,7.693726893574271,0.055351717322456466,0.7911278829032445,0.0037360342656156042
random_forest,1033.2903662299168,2.0980963997901783,606.8706660566327,1.3891292366829744,6.140274758804129,0.014592995458513183,0.8984211581489342,0.000390572576877178
