fold,n_features,rmse,mae,mape,r2
1,11,1605.4174268322063,750.8363363569684,7.366279649440406,0.8042585999678011
2,10,1301.2855267886537,663.9605109372503,7.107780417026947,0.8102491933999589
3,10,1378.4434744433918,662.2914270118135,7.016327763657849,0.787997693371764
4,10,1587.4639181757393,876.3520324521268,8.77512360438884,0.8054288884683785
5,10,1538.5049979954242,819.1584215600519,8.479349444784981,0.7356256407774044
